,country,page,last_edit,article_quality
78,Afghanistan,Hafizullah Amin,797156968,Stub
79,Afghanistan,Haji Mohammad Chamkani,802320704,Start
80,Afghanistan,Abdul Rashid Dostum,803705974,B
81,Afghanistan,Abdul Rahim Hatif,795275279,Start
82,Afghanistan,Inayatullah Khan,804938633,C
83,Afghanistan,Habibullāh Kalakāni,795274242,C
84,Afghanistan,Babrak Karmal,805772298,GA
85,Afghanistan,Abdul Ahad Karzai,795287565,Start
86,Afghanistan,Habibullah Karzai,797155187,GA
87,Afghanistan,Amanullah Khan,770658277,Start
88,Afghanistan,Habibullah Khan,718384584,Start
89,Afghanistan,Mohammed Daoud Khan,796493730,C
90,Afghanistan,Ahmad Shah Massoud,792853350,Start
91,Afghanistan,Mohammad Mohaqiq,801436815,Start
92,Afghanistan,Sibghatullah Mojaddedi,795276435,Stub
93,Afghanistan,Mohammed Nadir Shah,795285982,C
94,Afghanistan,Musahiban,770239277,Stub
95,Afghanistan,Mohammad Najibullah,788520176,C
96,Afghanistan,Nasrullah Khan (Afghanistan),788684997,Start
97,Afghanistan,Abdul Qadir (Afghan communist),718384771,Stub
98,Afghanistan,Burhanuddin Rabbani,795276382,C
99,Afghanistan,Mohammed Zahir Shah,795283501,Stub
100,Afghanistan,Nur Muhammad Taraki,796569814,GA
101,Afghanistan,Soraya Tarzi,796885432,Stub
102,Afghanistan,Abdullah Abdullah,794072920,Stub
103,Afghanistan,Ramazan Bashardost,787914141,Start
104,Afghanistan,Ashraf Ghani,806245882,GA
105,Afghanistan,Ahmed Wali Karzai,796885985,C
106,Afghanistan,Azizullah Karzai,797074740,GA
107,Afghanistan,Hamid Karzai,722893996,Stub
108,Afghanistan,Presidency of Hamid Karzai,797002885,B
109,Afghanistan,Hekmat Karzai,789787876,Start
110,Afghanistan,Motasim Billah Mazhabi,806291544,C
111,Afghanistan,Zarar Ahmad Osmani,795282782,Start
112,Afghanistan,Salahuddin Rabbani,777525023,Stub
113,Afghanistan,Rangin Dadfar Spanta,772804054,Stub
114,Afghanistan,Mirwais Yasini,750561890,Start
115,Afghanistan,Alhaj Mutalib Baig,803811852,GA
116,Afghanistan,Arsala Rahmani Daulat,797673897,Start
117,Afghanistan,Abdul Haq (Afghan leader),794478106,GA
118,Afghanistan,Muhammad Ali Jalali,803762075,C
119,Afghanistan,Arsala Jamal,727899635,Stub
120,Afghanistan,Habibullah Jan,802550537,Start
121,Afghanistan,Sayed Mustafa Kazemi,749355761,Stub
122,Afghanistan,Abdul Samad Khaksar,795282116,C
123,Afghanistan,Mohammad Khaksar,741518574,Start
124,Afghanistan,Jan Mohammad Khan,710498813,Stub
125,Afghanistan,Mir Akbar Khyber,750347412,Start
126,Afghanistan,Abdul Sabur Farid Kohistani,780940202,Start
127,Afghanistan,Mohammed Islam Mohammadi,709439380,Stub
128,Afghanistan,Sayyed Mohammad Eqbal Munib,806029147,GA
129,Afghanistan,Mohammad Omar (Afghan governor),795283296,Start
130,Afghanistan,Abdul Rahman (Afghan minister),799046878,Stub
131,Afghanistan,Sahib Rahman,781002628,Start
132,Afghanistan,Mirwais Sadiq,797728695,Start
133,Afghanistan,Mohammad Daud Sultanzoy,805821343,GA
134,Afghanistan,Hakim Taniwal,802697878,B
135,Afghanistan,Abdullah Wardak,802320895,C
136,Afghanistan,Mohammed Hashim Watanwal,795280443,C
137,Afghanistan,Zabihullah (Balkh),718382045,Stub
138,Afghanistan,Hajji Muhammad Arif Zarif,800053449,C
139,Afghanistan,List of heads of state of Afghanistan,763083773,Stub
140,Afghanistan,List of rulers of Afghanistan,782271570,Stub
141,Afghanistan,Mohammed Omar,801632337,C
142,Afghanistan,Template:Monarchs of Afghanistan,793429853,Start
143,Afghanistan,Template:Presidents of Afghanistan,747783201,Stub
144,Afghanistan,Noorulah Delwari,795280683,Start
145,Afghanistan,Wahid Omar,540459929,Stub
146,Afghanistan,Template:Afghanistan-politician-stub,443496992,Stub
147,Afghanistan,Template:Afghanistan-diplomat-stub,394580295,Stub
148,Afghanistan,Template:Afghanistan-mayor-stub,781791356,Stub
149,Afghanistan,Munshi Abdul Majid,758302567,Stub
150,Afghanistan,Mohammad Bashir Qant Chah Abi,720586068,Stub
151,Afghanistan,Ghulam Qawis Abubaker,751150581,Stub
152,Afghanistan,Shah Waliullah Adeeb,739136660,Stub
153,Afghanistan,Tayyab Agha,787398553,Stub
154,Afghanistan,Baz Mohammad Ahmadi,777874646,Stub
155,Afghanistan,Qari Ahmadullah,787399854,Stub
156,Afghanistan,Amir Muhammad Akhundzada,787399889,Stub
157,Afghanistan,Abdul Qadir Alam,797216331,Start
158,Afghanistan,Mohammad Ishaq Aloko,731353196,Stub
159,Afghanistan,Mohammad Aman,788882411,Start
160,Afghanistan,List of ambassadors of Afghanistan,788851566,Stub
161,Afghanistan,Roohul Amin,671455150,Stub
162,Afghanistan,Khairullah Anosh,782663330,Start
163,Afghanistan,Abdul Malik Anwar,782271549,Stub
164,Afghanistan,Abdul Hadi Arghandiwal,797343976,Stub
165,Afghanistan,Delbar Jan Arman,703507854,Stub
166,Afghanistan,Ahmad Shah Khan Asakzai,749952986,Stub
167,Afghanistan,Ghulam Dastagir Azad,805473052,Start
168,Afghanistan,Humayun Azizi,761685512,Stub
169,Afghanistan,Mohammad Iqbal Azizi,752026068,Stub
170,Afghanistan,Badar,800555876,Start
171,Afghanistan,Jamaluddin Badr,780939867,Start
172,Afghanistan,Bashir Baghlani,731397902,Start
173,Afghanistan,Naeem Baloch,718052714,Stub
174,Afghanistan,Mohammad Akbar Barakzai,718002836,Stub
175,Afghanistan,Abdul Bagi Baryal,762527227,Stub
176,Afghanistan,Ahmad Behzad,749593657,Stub
177,Afghanistan,Faizanullah Faizan,781167880,Stub
178,Afghanistan,Khalid Farooqi,745190115,Start
179,Afghanistan,Sharif Fayez,781169029,Stub
180,Afghanistan,Abdul Ghani Ghani,765965877,Stub
181,Afghanistan,Ghulam Mohammad Ghobar,771055245,Stub
182,Afghanistan,Abdul Qadir Imami Ghori,750549549,Stub
183,Afghanistan,Mohammad Ghous,770905450,Start
184,Afghanistan,Sayed Mohammad Gulabzoy,783321773,Stub
185,Afghanistan,Ghulam Haider Hamidi,803686558,Stub
186,Afghanistan,Sayed Ahmad Haqbeen,780765630,Stub
187,Afghanistan,Mullah Mohammad Hasan,791077429,Stub
188,Afghanistan,Mohammad Hashim Khan,710066519,Start
189,Afghanistan,Sayed Abdul Karim Hashimi,804577359,Stub
190,Afghanistan,Shahnaz Himmeti,781002975,Stub
191,Afghanistan,Abdul Latif Ibrahimi,748594441,Stub
192,Afghanistan,Sultan Jan,715179680,Stub
193,Afghanistan,Said Mohammad Ali Jawid,752332885,Stub
194,Afghanistan,List of governors of Jowzjan,756609530,Start
195,Afghanistan,Mohammad Shakir Kargar,800127655,Start
196,Afghanistan,Naqibullah Orya Khail,717624594,Stub
197,Afghanistan,Azim Khan,780326218,Stub
198,Afghanistan,Kashmir Khan,729099380,Stub
199,Afghanistan,Musa Khan Ahmadzai,763438364,Stub
200,Afghanistan,Aamir Latif,708476182,Stub
201,Afghanistan,List of governors of Baghlan,790711812,Start
202,Afghanistan,Azizullah Lodin,739695950,Stub
203,Afghanistan,Atiqullah Ludin,781990193,Stub
204,Afghanistan,Ibrahim Malikzada,801936110,Stub
205,Afghanistan,Abdul Hafiz Mansoor,800455166,Stub
206,Afghanistan,Lutfullah Mashal,795022269,Stub
207,Afghanistan,Ahmad Wali Massoud,796060040,Stub
208,Afghanistan,Mohammed Alim Razm,781990452,Stub
209,Afghanistan,Mullah Ghani,742229423,Stub
210,Afghanistan,Abdul Sattar Murad,787914131,Start
211,Afghanistan,Abdul Karim Mustaghni,753124044,Stub
212,Afghanistan,Rahmatullah Nabil,764743041,Stub
213,Afghanistan,Abdul Jabbar Naeemi,742237237,Start
214,Afghanistan,Gholam Rabani Nasher,787408432,Stub
215,Afghanistan,Abdul Hai Neamati,721999414,Start
216,Afghanistan,Ghulam Faroq Nijrabi,766167980,Stub
217,Afghanistan,Hamidullah Niyazmand,789969188,Stub
218,Afghanistan,Abdul Qadir Nuristani,750535372,Start
219,Afghanistan,Mohammad Tamim Nuristani,748841875,Stub
220,Afghanistan,Qurban Ali Oruzgani,718882885,Stub
221,Afghanistan,Osman Osmani,755254358,Stub
222,Afghanistan,Abdul Rahman Pazhwak,805345658,Start
223,Afghanistan,Habibullah Qaderi,805454844,Stub
224,Afghanistan,Mohammed Qalamuddin,718364221,Stub
225,Afghanistan,Hamidullah Qalandarzai,805473670,Stub
226,Afghanistan,Ismail Qasim Yar,757538650,Stub
227,Afghanistan,Murad Quenili,785352771,Stub
228,Afghanistan,Mohammed Rafie,750544170,Start
229,Afghanistan,Sayed Anwar Rahmati,754262111,Stub
230,Afghanistan,Abdur Razzaq (Taliban Interior Minister),782271562,Stub
231,Afghanistan,Ghulam Hassan Safi,789234893,Start
232,Afghanistan,Hanifa Safi,775523762,Stub
233,Afghanistan,Mohammad Nabi Safi,798792201,Start
234,Afghanistan,Shah Mahmood Safi,757800105,Start
235,Afghanistan,Ahmad Khan Samangani,715926834,Stub
236,Afghanistan,Abdul Majid Samim,780939825,Stub
237,Afghanistan,Mohibullah Samim,786830658,Stub
238,Afghanistan,Nematullah Shahrani,671473289,Stub
239,Afghanistan,Burhanullah Shinwari,776933374,Stub
240,Afghanistan,Baktash Siawash,780566383,Stub
241,Afghanistan,Abdul Wahed Sorabi,787348558,Stub
242,Afghanistan,Ibrahim Spinzada,670462475,Stub
243,Afghanistan,Sultan Hamid Sultan,737761144,Stub
244,Afghanistan,Abdul Jabbar Taqwa,717366122,Stub
245,Afghanistan,Abdullah Khan Tarzi,795654542,Start
246,Afghanistan,Assadullah Wafa,801936928,Start
247,Afghanistan,Fazlullah Wahidi,797570527,Stub
248,Afghanistan,Abdul Ahad Wardak,715926905,Stub
249,Afghanistan,Abdul Qayum Wardak,772765313,Stub
250,Afghanistan,Zalmai Wesa,718250607,Stub
251,Afghanistan,Al-Haj Suliman Yari,791219668,Start
252,Afghanistan,Mohammad Hashim Zare,720125764,Stub
253,Afghanistan,Abdul Ghafar Lakanwal,787400308,C
254,Afghanistan,Majah Ha Adrif,801207685,Start
255,Afghanistan,Haroon al-Afghani,801589377,Stub
256,Afghanistan,Aziza Ahmadyar,723481980,Stub
257,Afghanistan,Mohammad Sarwar Ahmadzai,751299201,Start
258,Afghanistan,Daud Arsala,782848556,C
259,Afghanistan,Nasrullah Baryalai Arsalai,790315322,Start
260,Afghanistan,Mohammad Asim Asim,796615232,Stub
261,Afghanistan,Atiqullah Atifmal,767150678,Start
262,Afghanistan,Abdul Rahim Ayoubi,627547024,Stub
263,Afghanistan,Fareeda Kuchi Balkhi,795483379,Stub
264,Afghanistan,Ismail Balkhi,769025347,C
265,Afghanistan,Abdul Baqi Turkistani,802764676,Start
266,Afghanistan,Mohammad Ghous Bashiri,800356996,Start
267,Afghanistan,Jan Baz,748931106,Start
268,Afghanistan,Bashir Ahmad Bezan,731512019,C
269,Afghanistan,Rafiullah Bidar,794028379,Start
270,Afghanistan,Mohammad Siddiq Chakari,710715953,Stub
271,Afghanistan,Cheragh Ali Cheragh,799547310,Start
272,Afghanistan,Mohammad Fahim Dashty,766272734,Stub
273,Afghanistan,Muhammad Hashim Esmatullahi,782978230,Stub
274,Afghanistan,Ezatullah (Nangarhar),729386082,Start
275,Afghanistan,Aimal Faizi,798923237,GA
276,Afghanistan,Mohammad Nasim Faqiri,799013122,B
277,Afghanistan,Mohammad Nazar Faqiri (Baghlan 1955),780468605,Stub
278,Afghanistan,Ravan A. G. Farhâdi,706112927,Stub
279,Afghanistan,First Lady of Afghanistan,723709911,Start
280,Afghanistan,Sharif Ghalib,730949872,Stub
281,Afghanistan,Mohammed Zaman,781002810,Stub
282,Afghanistan,Hashmat Ghani Ahmadzai,783898506,Stub
283,Afghanistan,Mohammad Gul (Helmand Council),766309040,Start
284,Afghanistan,Abdullah Habibi,799467889,Stub
285,Afghanistan,Mohammad Shafiq Hamdam,777625464,Start
286,Afghanistan,Abdul Malik Hamwar,799023086,C
287,Afghanistan,Hazrat-U-Din,713113246,Stub
288,Afghanistan,Qutbuddin Hilal,789359940,Start
289,Afghanistan,Mahboba Hoqomal,718019701,Stub
290,Afghanistan,Musa Hotak,710004254,Stub
291,Afghanistan,Mirza Muhammad Ismail,755339031,C
292,Afghanistan,Sayed Jalal,746242701,Start
293,Afghanistan,Said Tayeb Jawad,755351182,Stub
294,Afghanistan,Faizullah Kakar,768137506,C
295,Afghanistan,Amin Karim,800049528,C
296,Afghanistan,Sayed Jalal Karim,726625715,Start
297,Afghanistan,Hafizullah Shabaz Khail,792790722,Start
298,Afghanistan,Massoud Khalili,801469201,B
299,Afghanistan,Mohammad Khan (athlete),804091843,Stub
300,Afghanistan,Samoud Khan,787396242,Stub
301,Afghanistan,Mahbob-U-lah Koshani,805226789,C
302,Afghanistan,Baran Khan Kudezai,717252806,Stub
303,Afghanistan,Razaq Mamoon,801927558,Stub
304,Afghanistan,Mohammad Daud Miraki,799215547,FA
305,Afghanistan,Syed Gulam Farooq Mirranay,722198152,Stub
306,Afghanistan,Mohammad Rauf Mehdi,804099373,Start
307,Afghanistan,Ali Mohammad,774502969,C
308,Afghanistan,Nasruddin Mohseni,759449241,Stub
309,Afghanistan,Zalmai Mojadidi,770448889,Stub
310,Afghanistan,Davood Moradian,787439788,Stub
311,Afghanistan,Ezatullah Mujahid,802515929,Stub
312,Afghanistan,Fazal Haq Mujahid,769061187,C
313,Afghanistan,Sardar Mohammad Nadir Naeem,782845346,C
314,Afghanistan,Muhammad Yunus Nawandish,805412290,Stub
315,Afghanistan,Enayatullah Nazari,759489824,Stub
316,Afghanistan,Zabih-U-llah Ghazi Noristani,777492192,Stub
317,Afghanistan,Mohammed Tahir Omar,718358491,Start
318,Afghanistan,Nasrin Oryakhil,718362588,Stub
319,Afghanistan,Ghulam Mohammad Rigi,801825901,Start
320,Afghanistan,Rouh Gul Khairzad,783717361,Stub
321,Afghanistan,Amrullah Saleh,717365624,Start
322,Afghanistan,Mohammed Zia Salehi,717921766,Start
323,Afghanistan,Saber Sangar,793152042,Stub
324,Afghanistan,Muhammad Arif Sarwari,718933282,Stub
325,Afghanistan,Sayed Nasim Mihanparast,799023841,Stub
326,Afghanistan,Sayed Yousuf Mirranay,799046977,Start
327,Afghanistan,Sayed Zafar Hashemi,796676748,Start
328,Afghanistan,Shafiqa Habibi,787352628,Start
329,Afghanistan,Shakila (Kabul),721524808,Start
330,Afghanistan,Awtar Singh,779084312,C
331,Afghanistan,Hasan Ali Sultani,751959879,Stub
332,Afghanistan,Faramarz Tamanna,712832121,Start
333,Afghanistan,Mohammad Hashem Taufiqui,799883653,C
334,Afghanistan,Nur ul-Haq Ulumi,748084336,Start
335,Afghanistan,Pacha Gul Wafadar,788030456,Stub
336,Afghanistan,Wahidullah Waissi,767427725,Stub
337,Afghanistan,Gul Ahmmad Yama,785150345,Start
338,Afghanistan,Abdul Salam Zaeef,755110536,Stub
339,Afghanistan,Abdul Zahir (Konar Education Minister),748224926,Stub
340,Afghanistan,Ziauddin (Afghan militia leader),791329143,C
341,Afghanistan,Qari Ziauddin,774179658,Stub
342,Afghanistan,Abdul Ghafor Zori,759778743,C
343,Albania,Ramiz Alia,800129584,Stub
344,Albania,Beqir Balluku,720408323,Start
345,Albania,Liri Belishova,802795569,GA
346,Albania,Gerti Bogdani,777492238,Stub
347,Albania,Gjergj Bojaxhi,718362010,Start
348,Albania,Endrit Braimllari,724355183,Start
349,Albania,Ylli Bufi,801335999,Start
350,Albania,Aldo Bumçi,790721310,Stub
351,Albania,Arta Dade,789270214,Start
352,Albania,Damian Gjiknuri,796899839,C
353,Albania,Klajda Gjosha,788427441,Start
354,Albania,Edmond Haxhinasto,789669686,Start
355,Albania,Arben Imami,799468585,Stub
356,Albania,Kastriot Islami,790232486,Stub
357,Albania,Teodor Keko,798614973,C
358,Albania,Abdyl Këllezi,788425897,C
359,Albania,Sali Kelmendi,800124910,Stub
360,Albania,Mimi Kodheli,789270134,Start
361,Albania,Monika Kryemadhi,787078197,Stub
362,Albania,Besim Kuka,802469110,GA
363,Albania,Mirela Kumbaro,789270155,Start
364,Albania,Valentina Leskaj,802847173,C
365,Albania,Pandeli Majko,802438001,C
366,Albania,Ledina Mandia,802841606,GA
367,Albania,Rexhep Meidani,741807048,Stub
368,Albania,Aleksandër Meksi,802469085,Start
369,Albania,Tahir Muhedini,783768403,Stub
370,Albania,Prokop Murra,805073920,C
371,Albania,Fatos Nano,797777699,Start
372,Albania,Hysen Osmanaj,800805646,Start
373,Albania,Edmond Panariti,736756585,Stub
374,Albania,Gramoz Pashko,789817187,C
375,Albania,Avenir Peka,762839278,Start
376,Albania,Genc Pollo,799468712,Start
377,Albania,Ferdinand Poni,781947581,Stub
378,Albania,Edi Rama,789818753,Stub
379,Albania,Avni Rrustemi,802161072,Start
380,Albania,Genc Ruli,798618825,Start
381,Albania,Njazi Kosovrasti,791679071,Start
382,Albania,Gent Strazimiri,792801328,Start
383,Albania,Dëshira Subashi,790924186,Start
384,Albania,Jorida Tabaku,800117926,Start
385,Albania,Myqerem Tafaj,799468736,Start
386,Albania,Saimir Tahiri,805829565,Start
387,Albania,Bamir Topi,788182525,Start
388,Albania,Abdi Toptani,805159843,Start
389,Albania,Essad Pasha Toptani,755145396,Stub
390,Albania,Murat Toptani,804514843,Start
391,Albania,Olta Xhaçka,802380908,Start
392,Albania,Klement Zguri,789272024,C
393,Albania,List of Ministers of Foreign Affairs of Albania,788611790,Stub
394,Albania,Ledina Aliolli,802133891,Start
395,Albania,Majlinda Bregu,805804373,Stub
396,Albania,Rajmonda Bulku,781968923,Stub
397,Albania,Lenka Çuko,789270463,Stub
398,Albania,Mesila Doda,776842295,C
399,Albania,Grida Duma,799468489,Stub
400,Albania,Fiqirete Shehu,757544660,Stub
401,Albania,Adriana Gjonaj,789818937,Stub
402,Albania,Mimoza Hafizi,749829018,Start
403,Albania,Paulina Hoti,800811950,Stub
404,Albania,Nexhmije Hoxha,802437777,C
405,Albania,Floida Kërpaçi,790378063,Stub
406,Albania,Musine Kokalari,788180585,Stub
407,Albania,Reme Lala,802437825,Start
408,Albania,Lindita Nikolla,791318784,Start
409,Albania,Orjola Pampuri,788182881,Start
410,Albania,Lajla Pernaska,788182918,Stub
411,Albania,Jozefina Topalli,788182495,Stub
412,Albania,Arenca Trashani,802930966,C
413,Albania,Albana Vokshi,786220507,Start
414,Albania,Abdullah Pashe Taushani,699674395,Stub
415,Albania,Fejzi Alizoti,805157015,Stub
416,Albania,Dhimitër Beratti,789270092,Start
417,Albania,Kostandin Boshnjaku,803638786,Start
418,Albania,Luigj Bumçi,791836458,C
419,Albania,Pandeli Cale,802437851,Start
420,Albania,Avni bej Delvina,799644994,Start
421,Albania,Vehbi Dibra,791693230,C
422,Albania,Prenk Bib Doda,786975664,C
423,Albania,Hasan Dosti,786628383,C
424,Albania,Ferhat Bey Draga,789270814,Start
425,Albania,Aqif Pasha Elbasani,779725350,Stub
426,Albania,Kristo Floqi,801084884,Stub
427,Albania,Mehdi Frashëri,790720159,Start
428,Albania,Veli Gërra,788182293,Stub
429,Albania,Veli Harxhi,790720559,C
430,Albania,Dervish Hima,790720433,Start
431,Albania,Hysen Hoxha,788250379,Stub
432,Albania,Dhimitër Ilo,798610427,C
433,Albania,Nikollë Kaçorri,802444424,C
434,Albania,Zihni Abaz Kanina,797116789,Start
435,Albania,Qemal Karaosmani,799304187,Start
436,Albania,Babë Dud Karbunara,799467293,Stub
437,Albania,Mahmud Efendi Kaziu,799450784,Start
438,Albania,Veli Këlcyra,786199183,Stub
439,Albania,Kristo Kirka,790719984,Start
440,Albania,Qazim Kokoshi,788182602,Stub
441,Albania,Sotir Kolea,802437823,Start
442,Albania,Mehmet Konica,799695433,Stub
443,Albania,Ahmet Koronica,745805099,Start
444,Albania,Idhomene Kosturi,790208674,Start
445,Albania,Ismet Bey Kryeziu,788889966,Start
446,Albania,Myfid bej Libohova,789270784,Start
447,Albania,Tefik Mborja,788890514,Stub
448,Albania,Kristo Meksi,802437830,Start
449,Albania,Feim Mezhgorani,788182587,Stub
450,Albania,Qazim Mulleti,797855253,C
451,Albania,Behxhet Nepravishta,796896129,Start
452,Albania,Sali Nivica,788180240,Stub
453,Albania,Zyhdi Ohri,778418380,Start
454,Albania,Jani Papadhopulli,802442569,Stub
455,Albania,Sotir Peçi,802437953,Start
456,Albania,Petro Poga,802438008,Start
457,Albania,Hasan Prishtina,802437918,Stub
458,Albania,Kadri Prishtina,796600327,Start
459,Albania,Aristidh Ruci,791415808,Start
460,Albania,Nuri Sojliu,795321320,GA
461,Albania,Ibrahim Temo,802438004,Start
462,Albania,Mihal Turtulli,782099774,C
463,Albania,Dhimitër Tutulani,789270614,Stub
464,Albania,Sejfi Vllamasi,803812055,Start
465,Albania,Syrja Vlora,751432945,Stub
466,Albania,Zyhdi Vlora,789270021,Start
467,Albania,Ferit Vokopola,802444443,C
468,Albania,Sulejman Vokshi,789270004,Start
469,Albania,Aziz Vrioni,801554031,Start
470,Albania,Qemal Bey Vrioni,788181008,Stub
471,Albania,Sami Bey Vrioni,802437935,Start
472,Albania,Salih Bey Vuçitërni,802444467,Stub
473,Albania,Mahmud Xhelaledini,764898690,Stub
474,Albania,Dritëro Agolli,796371886,Start
475,Albania,Ali Ahmeti,789269944,Start
476,Albania,Ali Asllani,747064542,Stub
477,Albania,Muho Asllani,802437981,Stub
478,Albania,Olsi Baze,749473060,Stub
479,Albania,Besnik Bekteshi,789270096,Start
480,Albania,Nafiz Bezhani,789270087,Start
481,Albania,Bilbil Klosi,790720862,Start
482,Albania,Gëzim Boçari,798292485,Start
483,Albania,Xhemal Bushati,789270464,C
484,Albania,Hito Çako,802438011,Start
485,Albania,Foto Çami,791694358,Start
486,Albania,Adil Çarçani,790721337,Start
487,Albania,Costa Chekrezi,751070415,Start
488,Albania,Hajredin Çeliku,802438016,Start
489,Albania,Vangjel Çërrava,802438013,C
490,Albania,Maksim Cikuli,788910415,Start
491,Albania,Ramadan Çitaku,747887240,Start
492,Albania,Riza Dani,789270517,Start
493,Albania,Thoma Deliana,749828657,Start
494,Albania,Adem Demaçi,802444462,Start
495,Albania,Pirro Dodbiba,750648438,Start
496,Albania,Sokrat Dodbiba,789270025,Start
497,Albania,Petro Dode,789269991,Start
498,Albania,Ajdin Draga,802437920,Stub
499,Albania,Petrit Dume,788182594,Stub
500,Albania,Gjergj Fishta,789451460,Start
501,Albania,Midhat Frashëri,750544980,Stub
502,Albania,Llambi Gegprifti,752913381,Start
503,Albania,Lefter Goga,795293112,C
504,Albania,Mihal Grameno,798610685,Start
505,Albania,Anton Harapi,798610693,C
506,Albania,Kadri Hazbiu,783769131,Stub
507,Albania,Hekuran Isai,802442709,Start
508,Albania,Vito Kapo,789948931,Start
509,Albania,Bajram Kelmendi,802740752,GA
510,Albania,Avni Klinaku,757354231,Stub
511,Albania,Pirro Kondi,723561468,Start
512,Albania,Ceno Bey Kryeziu,805873702,Start
513,Albania,Teodor Laço,789270602,Start
514,Albania,"Leka I, Crown Prince of Albania",769689871,Start
515,Albania,Haxhi Lleshi,789270185,Start
516,Albania,Shkelzen Maliqi,774573300,Stub
517,Albania,Ermelinda Meksi,770035856,Stub
518,Albania,Qirjako Mihali,763731518,Start
519,Albania,Pali Miska,692123101,Stub
520,Albania,Ndre Mjeda,789270161,C
